ID,RAW,Translate,
1,Mere paas koi samaan nahin hai,I don't have any belongings,
2,Shuru karo,Start it,
3,Main phone par baat kar raha hoon,I am talking on the phone,
4,Usne mujhse bataya nahi,She didn't tell me,
5,Tum kal kahan the?,Where were you yesterday?,
6,Mujhe aapka phone aaya tha,I received your phone call,
7,Tumhe kya karna hai?,What do you want to do?,
8,Kal tumhara birthday hai,Tomorrow is your birthday,
9,Kya aapne khana khaya?,Did you eat food?,
10,Ye kitab mere liye hai,This book is for me,
11,Kal mai apne doston ke saath bahar ja raha hoon,I am going out with my friends tomorrow,
12,Aapko meri madad chahiye?,Do you need my help?,
13,Wo bahut sadharan hai,He is very ordinary,
14,Tumhari hasti bhi majboor hai,Your existence is also helpless,
15,Tumhe uss jagah jaana chahiye,You should go to that place,
16,Aaj mausam bahut accha hai,The weather is very good today,
17,Main apne dost ke saath haar gaya,I lost with my friend,
18,Tumhare paas kitne paise hain?,How much money do you have?,
19,Wo mujhse kabhi milne nahi aata,He never comes to meet me,
20,Ye kya ho raha hai?,What is happening?,
21,Main apne kaam mei busy tha,I was busy with my work,
22,Meri aankhein dard kar rahi hain,My eyes are hurting,
23,Main usse bahut pyaar karta hoon,I love her very much,
24,Tum kitne log ho?,How many people are you?,
25,Usne mujhse baat karna band kar diya,She stopped talking to me,
26,Main kal movie dekhne ja raha hoon,I am going to watch a movie tomorrow,
27,Tum apna number de sakte ho?,Can you give me your number?,
28,Tumhe ye accha lagega,You will like this,
29,Mai abhi aapka shoot kar raha hoon,I am shooting you right now,
30,Wo bahut accha insaan hai,He is a very good person,
31,Mujhe iska matlab nahi pata,I don't know the meaning of this,
32,Tumhe kuch kaam hai?,Do you have any work?,
33,Usne mujhe kabhi dhoka nahi diya hai,She never betrayed me,
34,Tum mere saath chalo,Come with me,
35,Main kaam pe ja raha hoon,I am going to work,
36,Wo bahut acha dancer hai,He is a very good dancer,
37,Ye tumhare liye hai,This is for you,
38,Tum koun ho?,Who are you?,
39,Mai tumse gussa hoon,I am angry with you,
40,Usne mujhe hansa diya,She made me laugh,
41,Mujhe tumhare jaisa koi nahi hai,There is no one like you for me,
42,Tum aaj kal bahut busy ho,You are very busy these days,
43,Main aaj office nahi jaunga,I will not go to the office today,
44,Tum khana kha lo,You eat the food,
45,Uski zindagi bhi bahut mushkil hai,His life is also very difficult,
46,Wo bahut jaldi kaam karta hai,He works very quickly,
47,Aaj raat bahut thand hogi,It will be very cold tonight,
48,Tumhare paas koi plan hai?,Do you have any plan?,
49,Main aapse bahut khush hoon,I am very happy with you,
50,Usne mujhe aaj subah phone kiya tha,He called me this morning,
51,Tum kya soch rahe ho?,What are you thinking?,
52,Mai usse baat karna chahata hoon,I want to talk to her,
53,Usne mujhe apne baare mei bataya,He told me about himself,
54,Tumne khana kha liya?,Did you eat food?,
55,Mai khush hu tumhare saath,I am happy with you,
56,Wo mujhe nahi pata,I don't know about it,
57,Tum kaisi ho?,How are you?,
58,Uski aankhein bahut khoobsurat thi,His eyes were very beautiful,
59,Tumhe kya chahiye?,What do you want?,
60,Main aapko paise de doonga,I will give you money,
61,Ye bahut acchi jagah hai,This is a very good place,
62,Tumhari aankhein bahut khoobsurat hai,Your eyes are very beautiful,
63,Uska number mujhe nahi pata,I don't know his number,
64,Main usse kabhi bhul nahi sakta,I can never forget him,
65,Tumne mujhse galti kar diya,You made a mistake with me,
66,Wo mujhse milna chahta hai,He wants to meet me,
67,Main tumhe yaad kar raha tha,I was remembering you,
68,Tumhara phone number kya hai?,What is your phone number?,
69,Usne mujhse kabhi jhoot nahi bola,She never lied to me,
70,Tum mujhe kuch bhi kar sakte ho,You can do anything to me,
71,Main college se abhi ghar aaya hoon,I just came back from college,
72,Tumhari aankhon mei khushi hai,There is happiness in your eyes,
73,Usne mere saath bahut accha behave kiya,He behaved very well with me,
74,Tum mujhe bahut yaad aate ho,I miss you a lot,
75,Main aur meri girlfriend bahut khush hai,Me and my girlfriend are very happy,
76,Tumne usko kabhi apna dil nahi diya,You never gave your heart to him,
77,Wo bahut zyada kush hai,He is very happy,
78,Mujhe abhi kaam karne ki zaroorat nahi hai,I don't need to work right now,
79,Tumne mujhe kabhi dhoka nahi diya hai,You never betrayed me,
80,Main apna phone khone ke baad bahut pareshaan tha,I was very worried after losing my phone,
81,Usse kya hua hai?,What happened to him?,
82,Tum bahut jaldi gusse mei aa jaate ho,You get angry very quickly,
